web-scraper-order,Car Model,Old Price,Price Change,New Price,date_range
1680210890-1,Porsche Cayenne A/T / Coupe 2020,"2,262,876
EGP","trending_down
-82,876
EGP","2,180,000
EGP",18/11/2020
1680210890-2,Porsche Cayenne A/T / Coupe 2020,"2,078,727
EGP","trending_up
+184,149
EGP","2,262,876
EGP",14/10/2019
1680210890-3,Porsche Cayenne A/T / S 2020,"2,388,000
EGP","trending_down
-93,000
EGP","2,295,000
EGP",18/11/2020
1680210890-4,Porsche Cayenne A/T / S 2020,"2,262,876
EGP","trending_up
+125,124
EGP","2,388,000
EGP",15/10/2019
1680210890-5,Lexus LX 570 Automtic 2020,"5,600,000
EGP","trending_down
-350,000
EGP","5,250,000
EGP",18/05/2020
1680210890-6,Lexus LX 570 Automtic 2020,"5,800,000
EGP","trending_down
-200,000
EGP","5,600,000
EGP",15/12/2019
1680210890-7,Lexus LX 570 Automtic 2020,"5,800,000
EGP","trending_down
-350,000
EGP","5,450,000
EGP",18/05/2020
1680210890-8,Lexus ES 350 Automtic 2020,"2,830,000
EGP","trending_down
-180,000
EGP","2,650,000
EGP",18/05/2020
1680210890-9,Lexus ES 350 Automtic 2020,"2,650,000
EGP","trending_up
+180,000
EGP","2,830,000
EGP",18/12/2019
1680210890-10,Lexus LS 500 Automtic 2020,"5,400,000
EGP","trending_down
-400,000
EGP","5,000,000
EGP",18/05/2020
1680210890-11,Lexus LS 500 Automtic 2020,"6,150,000
EGP","trending_down
-450,000
EGP","5,700,000
EGP",18/05/2020
1680210890-12,Lexus LS 500 Automtic 2020,"6,750,000
EGP","trending_down
-500,000
EGP","6,250,000
EGP",18/05/2020
1680210890-13,Lexus ES 350 Automtic 2020,"2,150,000
EGP","trending_up
+350,000
EGP","2,500,000
EGP",18/05/2020
1680210890-14,Lexus ES 350 Automtic 2020,"2,650,000
EGP","trending_down
-500,000
EGP","2,150,000
EGP",18/05/2020
1680210890-15,Porsche Macan A/T 2020,"1,253,000
EGP","trending_down
-61,000
EGP","1,192,000
EGP",11/11/2020
1680210890-16,Porsche Macan A/T / S 2020,"1,825,000
EGP","trending_up
+225,000
EGP","2,050,000
EGP",11/11/2020
1680210890-17,Porsche Boxster M/T / 718 2020,"1,477,000
EGP","trending_down
-67,000
EGP","1,410,000
EGP",11/11/2020
1680210890-18,Toyota Corolla Automatic / SMART / Sun Roof 2022,"500,000
EGP","trending_up
+70,000
EGP","570,000
EGP",16/09/2022
1680210890-19,Toyota Corolla Automatic / SMART / Sun Roof 2022,"465,000
EGP","trending_up
+35,000
EGP","500,000
EGP",18/07/2022
1680210890-20,Toyota Corolla Automatic / SMART / Sun Roof 2022,"420,000
EGP","trending_up
+45,000
EGP","465,000
EGP",7/4/2022
1680210890-21,Toyota Corolla Automatic / SMART / Sun Roof 2022,"417,000
EGP","trending_up
+3,000
EGP","420,000
EGP",9/1/2022
1680210890-22,Toyota Corolla Automatic / SMART / Sun Roof 2022,"405,000
EGP","trending_up
+12,000
EGP","417,000
EGP",25/08/2021
1680210890-23,Toyota Corolla Automtic / GR 2022,"525,000
EGP","trending_up
+75,000
EGP","600,000
EGP",16/09/2022
1680210890-24,Toyota Corolla Automtic / GR 2022,"490,000
EGP","trending_up
+35,000
EGP","525,000
EGP",18/07/2022
1680210890-25,Toyota Corolla Automtic / GR 2022,"457,000
EGP","trending_up
+33,000
EGP","490,000
EGP",7/4/2022
1680210890-26,Toyota Corolla Automtic / GR 2022,"445,000
EGP","trending_up
+12,000
EGP","457,000
EGP",25/08/2021
1680210890-27,Toyota Corolla Automatic / Elgance 2022,"534,000
EGP","trending_up
+100,000
EGP","634,000
EGP",16/09/2022
1680210890-28,Toyota Corolla Automatic / Elgance 2022,"499,000
EGP","trending_up
+35,000
EGP","534,000
EGP",18/07/2022
1680210890-29,Toyota Corolla Automatic / Elgance 2022,"472,000
EGP","trending_up
+27,000
EGP","499,000
EGP",7/4/2022
1680210890-30,Toyota Corolla Automatic / Elgance 2022,"460,000
EGP","trending_up
+12,000
EGP","472,000
EGP",25/08/2021
1680210890-31,Lada Granta manual‏ / salon 2022,"185,000
EGP","trending_up
+9,500
EGP","194,500
EGP",3/4/2022
1680210890-32,Lada Granta manual‏ / salon 2022,"168,000
EGP","trending_up
+27,000
EGP","195,000
EGP",22/03/2022
1680210890-33,Lada Granta manual‏ / salon 2022,"174,000
EGP","trending_down
-6,000
EGP","168,000
EGP",28/02/2022
1680210890-34,Lada Granta manual‏ / salon 2022,"168,000
EGP","trending_up
+6,000
EGP","174,000
EGP",4/11/2021
1680210890-35,Lada Granta manual‏ / salon 2022,"163,000
EGP","trending_up
+5,000
EGP","168,000
EGP",16/10/2021
1680210890-36,Lada Granta manual‏ / salon 2022,"160,000
EGP","trending_up
+3,000
EGP","163,000
EGP",4/10/2021
1680210890-37,Lada Granta manual‏ / salon 2022,"158,000
EGP","trending_up
+2,000
EGP","160,000
EGP",25/08/2021
1680210890-38,Lada Granta A/T / E1 2022,"215,000
EGP","trending_up
+14,500
EGP","229,500
EGP",3/4/2022
1680210890-39,Lada Granta A/T / E1 2022,"194,000
 EGP","trending_up
+31,000
EGP","225,000
EGP",22/03/2022
1680210890-40,Lada Granta A/T / E1 2022,"189,000
EGP","trending_up
+5,000
EGP","194,000
EGP",4/11/2021
1680210890-41,Lada Granta A/T / E1 2022,"183,000
EGP","trending_up
+6,000
EGP","189,000
EGP",16/10/2021
1680210890-42,Lada Granta A/T / E1 2022,"180,000
EGP","trending_up
+3,000
EGP","183,000
EGP",4/10/2021
1680210890-43,Lada Granta A/T / E1 2022,"178,000
EGP","trending_up
+2,000
EGP","180,000
EGP",25/08/2021
1680210890-44,Lada Granta A/T / E2 2022,"220,000
EGP","trending_up
+15,500
EGP","235,500
EGP",3/4/2022
1680210890-45,Lada Granta A/T / E2 2022,"225,000
EGP","trending_up
+10,000
EGP","235,000
EGP",22/03/2022
1680210890-46,Lada Granta A/T / E2 2022,"198,000
EGP","trending_up
+6,000
EGP","204,000
EGP",4/11/2021
1680210890-47,Lada Granta A/T / E2 2022,"192,000
EGP","trending_up
+6,000
EGP","198,000
EGP",16/10/2021
1680210890-48,Lada Granta A/T / E2 2022,"188,000
EGP","trending_up
+4,000
EGP","192,000
EGP",4/10/2021
1680210890-49,Lada Granta A/T / E2 2022,"185,000
EGP","trending_up
+3,000
EGP","188,000
EGP",25/08/2021
1680210890-50,Toyota Fortuner Automtic / ELEGANCE 2022,"945,000
EGP","trending_up
+95,000
EGP","1,040,000
EGP",7/4/2022
1680210890-51,Toyota Fortuner Automtic / ELEGANCE 2022,"935,000
EGP","trending_up
+10,000
EGP","945,000
EGP",25/08/2021
1680210890-52,Toyota Fortuner Automtic / ELEGANCE 2022,"930,000
EGP","trending_up
+5,000
EGP","935,000
EGP",10/8/2021
1680210890-53,Toyota Fortuner Automtic / ELEGANCE 2022,"925,000
EGP","trending_up
+5,000
EGP","930,000
EGP",27/07/2021
1680210890-54,Toyota Fortuner A/T / SMART 2022,"795,000
EGP","trending_up
+95,000
EGP","890,000
EGP",7/4/2022
1680210890-55,Toyota Fortuner A/T / SMART 2022,"785,000
EGP","trending_up
+10,000
EGP","795,000
EGP",25/08/2021
1680210890-56,Toyota Fortuner A/T / SMART 2022,"780,000
EGP","trending_up
+5,000
EGP","785,000
EGP",10/8/2021
1680210890-57,Toyota Fortuner A/T / SMART 2022,"775,000
EGP","trending_up
+5,000
EGP","780,000
EGP",27/07/2021
1680210890-58,Nissan Sunny Manual‏ / Baseline 2022,"197,400
EGP","trending_up
+21,000
EGP","218,400
EGP",25/03/2022
1680210890-59,Nissan Sunny Manual‏ / Baseline 2022,"194,900
EGP","trending_up
+2,500
EGP","197,400
EGP",2/1/2022
1680210890-60,Nissan Sunny Manual‏ / Baseline 2022,"189,900
EGP","trending_up
+5,000
EGP","194,900
EGP",2/11/2021
1680210890-61,Nissan Sunny Manual‏ / Baseline 2022,"188,000
EGP","trending_up
+1,900
EGP","189,900
EGP",3/10/2021
1680210890-62,Nissan Sunny Manual‏ / Baseline 2022,"185,000
EGP","trending_up
+3,000
EGP","188,000
EGP",31/08/2021
1680210890-63,Nissan Sunny Automatic / Baseline 2022,"218,500
EGP","trending_up
+21,000
EGP","239,500
EGP",25/03/2022
1680210890-64,Nissan Sunny Automatic / Baseline 2022,"216,000
EGP","trending_up
+2,500
EGP","218,500
EGP",2/1/2022
1680210890-65,Nissan Sunny Automatic / Baseline 2022,"211,000
EGP","trending_up
+5,000
EGP","216,000
EGP",2/11/2021
1680210890-66,Nissan Sunny Automatic / Baseline 2022,"210,000
EGP","trending_up
+1,000
EGP","211,000
EGP",3/10/2021
1680210890-67,Nissan Sunny Automatic / Baseline 2022,"207,000
EGP","trending_up
+3,000
EGP","210,000
EGP",31/08/2021
1680210890-68,Nissan Sunny Automatic / Baseline 2022,"206,000
EGP","trending_up
+1,000
EGP","207,000
EGP",3/7/2021
1680210890-69,Nissan Sunny A/T / Super Saloon 2022,"243,000
EGP","trending_up
+21,000
EGP","264,000
EGP",25/03/2022
1680210890-70,Nissan Sunny A/T / Super Saloon 2022,"240,500
EGP","trending_up
+2,500
EGP","243,000
EGP",2/1/2022
1680210890-71,Nissan Sunny A/T / Super Saloon 2022,"235,500
EGP","trending_up
+5,000
EGP","240,500
EGP",2/11/2021
1680210890-72,Nissan Sunny A/T / Super Saloon 2022,"234,500
EGP","trending_up
+1,000
EGP","235,500
EGP",3/10/2021
1680210890-73,Nissan Sunny A/T / Super Saloon 2022,"231,500
EGP","trending_up
+3,000
EGP","234,500
EGP",31/08/2021
1680210890-74,Nissan Sunny A/T / Super Saloon 2022,"230,500
EGP","trending_up
+1,000
EGP","231,500
EGP",3/7/2021
1680210890-75,Nissan Sunny A/T / Midline 2022,"232,000
EGP","trending_up
+21,000
EGP","253,000
EGP",25/03/2022
1680210890-76,Nissan Sunny A/T / Midline 2022,"229,500
EGP","trending_up
+2,500
EGP","232,000
EGP",2/1/2022
1680210890-77,Nissan Sunny A/T / Midline 2022,"224,500
EGP","trending_up
+5,000
EGP","229,500
EGP",2/11/2021
1680210890-78,Nissan Sunny A/T / Midline 2022,"223,500
EGP","trending_up
+1,000
EGP","224,500
EGP",3/10/2021
1680210890-79,Nissan Sunny A/T / Midline 2022,"220,500
EGP","trending_up
+3,000
EGP","223,500
EGP",31/08/2021
1680210890-80,Nissan Sunny A/T / Midline 2022,"219,500
EGP","trending_up
+1,000
EGP","220,500
EGP",3/7/2021
1680210890-81,Hyundai Tucson A/T / Smart 2022,"980,000
EGP","trending_up
+10,000
EGP","990,000
EGP",1/3/2023
1680210890-82,Hyundai Tucson A/T / Smart 2022,"915,000
EGP","trending_up
+65,000
EGP","980,000
EGP",15/01/2023
1680210890-83,Hyundai Tucson A/T / Smart 2022,"595,000
EGP","trending_up
+320,000
EGP","915,000
EGP",10/1/2023
1680210890-84,Hyundai Tucson A/T / Smart 2022,"575,000
EGP","trending_up
+20,000
EGP","595,000
EGP",15/06/2022
1680210890-85,Hyundai Tucson A/T / Smart 2022,"525,000
EGP","trending_up
+50,000
EGP","575,000
EGP",7/4/2022
1680210890-86,Hyundai Tucson A/T / Smart 2022,"475,000
EGP","trending_up
+50,000
EGP","525,000
EGP",21/03/2022
1680210890-87,Hyundai Tucson A/T / Smart 2022,"465,000
EGP","trending_up
+10,000
 EGP","475,000
EGP",31/10/2021
1680210890-88,Hyundai Tucson A/T / Smart 2022,"460,000
EGP","trending_up
+5,000
EGP","465,000
EGP",3/10/2021
1680210890-89,Hyundai Tucson A/T / Smart 2022,"455,000
EGP","trending_up
+5,000
EGP","460,000
EGP",1/9/2021
1680210890-90,Hyundai Tucson A/T / Smart Plus 2022,"605,000
EGP","trending_up
+20,000
EGP","625,000
EGP",15/06/2022
1680210890-91,Hyundai Tucson A/T / Smart Plus 2022,"555,000
EGP","trending_up
+50,000
EGP","605,000
EGP",7/4/2022
1680210890-92,Hyundai Tucson A/T / Smart Plus 2022,"505,000
EGP","trending_up
+50,000
EGP","555,000
EGP",21/03/2022
1680210890-93,Hyundai Tucson A/T / Smart Plus 2022,"495,000
EGP","trending_up
+10,000
EGP","505,000
EGP",31/10/2021
1680210890-94,Hyundai Tucson A/T / Smart Plus 2022,"490,000
EGP","trending_up
+5,000
EGP","495,000
EGP",3/10/2021
1680210890-95,Hyundai Tucson A/T / Smart Plus 2022,"485,000
EGP","trending_up
+5,000
EGP","490,000
EGP",1/9/2021
1680210890-96,Hyundai Tucson A/T / Modern 2022,"640,000
EGP","trending_up
+20,000
EGP","660,000
EGP",15/06/2022
1680210890-97,Hyundai Tucson A/T / Modern 2022,"590,000
EGP","trending_up
+50,000
EGP","640,000
EGP",7/4/2022
1680210890-98,Hyundai Tucson A/T / Modern 2022,"540,000
EGP","trending_up
+50,000
EGP","590,000
EGP",21/03/2022
1680210890-99,Hyundai Tucson A/T / Modern 2022,"530,000
EGP","trending_up
+10,000
EGP","540,000
EGP",31/10/2021
1680210890-100,Hyundai Tucson A/T / Modern 2022,"525,000
EGP","trending_up
+5,000
EGP","530,000
EGP",3/10/2021
1680210890-101,Hyundai Tucson A/T / Modern 2022,"520,000
EGP","trending_up
+5,000
EGP","525,000
EGP",1/9/2021
1680210890-102,Hyundai Tucson A/T / Advanced 2022,"695,000
EGP","trending_up
+20,000
EGP","715,000
EGP",15/06/2022
1680210890-103,Hyundai Tucson A/T / Advanced 2022,"645,000
EGP","trending_up
+50,000
EGP","695,000
EGP",7/4/2022
1680210890-104,Hyundai Tucson A/T / Advanced 2022,"595,000
EGP","trending_up
+50,000
EGP","645,000
EGP",21/03/2022
1680210890-105,Hyundai Tucson A/T / Advanced 2022,"580,000
EGP","trending_up
+15,000
EGP","595,000
EGP",31/10/2021
1680210890-106,Hyundai Tucson A/T / Advanced 2022,"575,000
EGP","trending_up
+5,000
EGP","580,000
EGP",3/10/2021
1680210890-107,Hyundai Tucson A/T / Advanced 2022,"570,000
EGP","trending_up
+5,000
EGP","575,000
EGP",1/9/2021
1680210890-108,Hyundai Tucson A/T / Premium 2022,"735,000
EGP","trending_up
+20,000
EGP","755,000
EGP",15/06/2022
1680210890-109,Hyundai Tucson A/T / Premium 2022,"685,000
EGP","trending_up
+50,000
EGP","735,000
EGP",7/4/2022
1680210890-110,Hyundai Tucson A/T / Premium 2022,"635,000
EGP","trending_up
+50,000
EGP","685,000
EGP",21/03/2022
1680210890-111,Hyundai Tucson A/T / Premium 2022,"620,000
EGP","trending_up
+15,000
EGP","635,000
EGP",31/10/2021
1680210890-112,Hyundai Tucson A/T / Premium 2022,"615,000
EGP","trending_up
+5,000
EGP","620,000
EGP",3/10/2021
1680210890-113,Hyundai Tucson A/T / Premium 2022,"610,000
EGP","trending_up
+5,000
EGP","615,000
EGP",1/9/2021
1680210890-114,Renault Duster A/T / H3 2022,"405,000
EGP","trending_up
+100,000
EGP","505,000
EGP",3/11/2022
1680210890-115,Renault Duster A/T / H3 2022,"395,000
EGP","trending_up
+10,000
EGP","405,000
EGP",2/6/2022
1680210890-116,Renault Duster A/T / H3 2022,"387,000
EGP","trending_up
+8,000
EGP","395,000
EGP",5/5/2022
1680210890-117,Renault Duster A/T / H3 2022,"352,000
EGP","trending_up
+35,000
EGP","387,000
EGP",8/4/2022
1680210890-118,Renault Duster A/T / H3 2022,"343,000
EGP","trending_up
+9,000
EGP","352,000
EGP",3/2/2022
1680210890-119,Renault Duster A/T / H3 2022,"333,000
EGP","trending_up
+10,000
EGP","343,000
EGP",23/12/2021
1680210890-120,Renault Duster A/T / H3 2022,"348,000
EGP","trending_down
-15,000
EGP","333,000
EGP",1/9/2021
1680210890-121,Chery Tiggo 7 A/T / Baseline 2022,"509,000
EGP","trending_up
+40,000
EGP","549,000
EGP",15/01/2023
1680210890-122,Chery Tiggo 7 A/T / Baseline 2022,"459,000
EGP","trending_up
+50,000
EGP","509,000
EGP",11/1/2023
1680210890-123,Chery Tiggo 7 A/T / Baseline 2022,"449,000
EGP","trending_up
+10,000
EGP","459,000
EGP",2/1/2023
1680210890-124,Chery Tiggo 7 A/T / Baseline 2022,"439,000
EGP","trending_up
+10,000
EGP","449,000
EGP",20/12/2022
1680210890-125,Chery Tiggo 7 A/T / Baseline 2022,"414,000
EGP","trending_up
+25,000
EGP","439,000
EGP",31/10/2022
1680210890-126,Chery Tiggo 7 A/T / Baseline 2022,"379,000
EGP","trending_up
+35,000
EGP","414,000
EGP",30/09/2022
1680210890-127,Chery Tiggo 7 A/T / Baseline 2022,"354,000
EGP","trending_up
+25,000
EGP","379,000
EGP",1/9/2022
1680210890-128,Chery Tiggo 7 A/T / Baseline 2022,"349,000
EGP","trending_up
+5,000
EGP","354,000
EGP",25/08/2022
1680210890-129,Chery Tiggo 7 A/T / Baseline 2022,"340,000
EGP","trending_up
+9,000
EGP","349,000
EGP",26/04/2022
1680210890-130,Chery Tiggo 7 A/T / Baseline 2022,"320,000
EGP","trending_up
+20,000
EGP","340,000
EGP",7/4/2022
1680210890-131,Chery Tiggo 7 A/T / Highline 2022,"549,000
EGP","trending_up
+41,000
EGP","590,000
EGP",15/01/2023
1680210890-132,Chery Tiggo 7 A/T / Highline 2022,"495,000
EGP","trending_up
+54,000
EGP","549,000
EGP",11/1/2023
1680210890-133,Chery Tiggo 7 A/T / Highline 2022,"480,000
EGP","trending_up
+15,000
EGP","495,000
EGP",2/1/2023
1680210890-134,Chery Tiggo 7 A/T / Highline 2022,"470,000
EGP","trending_up
+10,000
EGP","480,000
EGP",20/12/2022
1680210890-135,Chery Tiggo 7 A/T / Highline 2022,"440,000
EGP","trending_up
+30,000
EGP","470,000
EGP",31/10/2022
1680210890-136,Chery Tiggo 7 A/T / Highline 2022,"405,000
EGP","trending_up
+35,000
EGP","440,000
EGP",30/09/2022
1680210890-137,Chery Tiggo 7 A/T / Highline 2022,"380,000
EGP","trending_up
+25,000
EGP","405,000
EGP",1/9/2022
1680210890-138,Chery Tiggo 7 A/T / Highline 2022,"375,000
EGP","trending_up
+5,000
EGP","380,000
EGP",25/08/2022
1680210890-139,Chery Tiggo 7 A/T / Highline 2022,"365,000
EGP","trending_up
+10,000
EGP","375,000
EGP",26/04/2022
1680210890-140,Chery Tiggo 7 A/T / Highline 2022,"345,000
EGP","trending_up
+20,000
EGP","365,000
EGP",7/4/2022
1680210890-141,Changan Alsvin MT‏ / L1 2022,"299,900
EGP","trending_up
+20,100
EGP","320,000
EGP",18/01/2023
1680210890-142,Changan Alsvin MT‏ / L1 2022,"275,000
EGP","trending_up
+24,900
EGP","299,900
EGP",15/01/2023
1680210890-143,Changan Alsvin MT‏ / L1 2022,"245,000
EGP","trending_up
 +30,000
EGP","275,000
EGP",31/10/2022
1680210890-144,Changan Alsvin MT‏ / L1 2022,"240,000
EGP","trending_up
+5,000
EGP","245,000
EGP",2/10/2022
1680210890-145,Changan Alsvin MT‏ / L1 2022,"230,000
EGP","trending_up
+10,000
EGP","240,000
EGP",4/9/2022
1680210890-146,Changan Alsvin MT‏ / L1 2022,"227,000
EGP","trending_up
+3,000
EGP","230,000
EGP",24/07/2022
1680210890-147,Changan Alsvin MT‏ / L1 2022,"225,000
EGP","trending_up
+2,000
EGP","227,000
EGP",14/06/2022
1680210890-148,Changan Alsvin MT‏ / L1 2022,"213,000
EGP","trending_up
+12,000
EGP","225,000
EGP",1/6/2022
1680210890-149,Changan Alsvin MT‏ / L1 2022,"203,000
EGP","trending_up
+10,000
EGP","213,000
EGP",8/5/2022
1680210890-150,Changan Alsvin MT‏ / L1 2022,"196,000
EGP","trending_up
+7,000
EGP","203,000
EGP",7/4/2022
1680210890-151,Changan Alsvin A/T / L1 2022,"330,000
EGP","trending_up
+25,000
EGP","355,000
EGP",18/01/2023
1680210890-152,Changan Alsvin A/T / L1 2022,"305,000
EGP","trending_up
+25,000
EGP","330,000
EGP",15/01/2023
1680210890-153,Changan Alsvin A/T / L1 2022,"275,000
EGP","trending_up
+30,000
EGP","305,000
EGP",31/10/2022
1680210890-154,Changan Alsvin A/T / L1 2022,"270,000
EGP","trending_up
+5,000
EGP","275,000
EGP",2/10/2022
1680210890-155,Changan Alsvin A/T / L1 2022,"255,000
EGP","trending_up
+15,000
EGP","270,000
EGP",4/9/2022
1680210890-156,Changan Alsvin A/T / L1 2022,"250,000
EGP","trending_up
+5,000
EGP","255,000
EGP",2/8/2022
1680210890-157,Changan Alsvin A/T / L1 2022,"247,000
EGP","trending_up
+3,000
EGP","250,000
EGP",24/07/2022
1680210890-158,Changan Alsvin A/T / L1 2022,"245,000
EGP","trending_up
+2,000
EGP","247,000
EGP",14/06/2022
1680210890-159,Changan Alsvin A/T / L1 2022,"233,000
EGP","trending_up
+12,000
EGP","245,000
EGP",1/6/2022
1680210890-160,Changan Alsvin A/T / L1 2022,"223,000
EGP","trending_up
+10,000
EGP","233,000
EGP",8/5/2022
1680210890-161,Changan Alsvin A/T / L2 2022,"350,000
EGP","trending_up
+25,000
EGP","375,000
EGP",18/01/2023
1680210890-162,Changan Alsvin A/T / L2 2022,"325,000
EGP","trending_up
+25,000
EGP","350,000
EGP",15/01/2023
1680210890-163,Changan Alsvin A/T / L2 2022,"295,000
EGP","trending_up
+30,000
EGP","325,000
EGP",31/10/2022
1680210890-164,Changan Alsvin A/T / L2 2022,"290,000
EGP","trending_up
+5,000
EGP","295,000
EGP",2/10/2022
1680210890-165,Changan Alsvin A/T / L2 2022,"275,000
EGP","trending_up
+15,000
EGP","290,000
EGP",4/9/2022
1680210890-166,Changan Alsvin A/T / L2 2022,"270,000
EGP","trending_up
+5,000
EGP","275,000
EGP",2/8/2022
1680210890-167,Changan Alsvin A/T / L2 2022,"267,000
EGP","trending_up
+3,000
EGP","270,000
EGP",24/07/2022
1680210890-168,Changan Alsvin A/T / L2 2022,"265,000
EGP","trending_up
+2,000
EGP","267,000
EGP",14/06/2022
1680210890-169,Changan Alsvin A/T / L2 2022,"249,000
EGP","trending_up
+16,000
EGP","265,000
EGP",1/6/2022
1680210890-170,Changan Alsvin A/T / L2 2022,"239,000
EGP","trending_up
+10,000
EGP","249,000
EGP",8/5/2022
1680210890-171,Changan Eado A/T / L1 2022,"360,000
EGP","trending_up
+25,000
EGP","385,000
EGP",18/01/2023
1680210890-172,Changan Eado A/T / L1 2022,"340,000
EGP","trending_up
+20,000
EGP","360,000
EGP",15/01/2023
1680210890-173,Changan Eado A/T / L1 2022,"310,000
EGP","trending_up
+30,000
EGP","340,000
EGP",31/10/2022
1680210890-174,Changan Eado A/T / L1 2022,"305,000
EGP","trending_up
+5,000
EGP","310,000
EGP",2/10/2022
1680210890-175,Changan Eado A/T / L1 2022,"290,000
EGP","trending_up
+15,000
EGP","305,000
EGP",4/9/2022
1680210890-176,Changan Eado A/T / L1 2022,"283,000
EGP","trending_up
+7,000
EGP","290,000
EGP",24/07/2022
1680210890-177,Changan Eado A/T / L1 2022,"279,900
EGP","trending_up
+3,100
EGP","283,000
EGP",14/06/2022
1680210890-178,Changan Eado A/T / L1 2022,"270,000
EGP","trending_up
+9,900
EGP","279,900
EGP",1/6/2022
1680210890-179,Changan Eado A/T / L1 2022,"260,000
EGP","trending_up
+10,000
EGP","270,000
EGP",8/5/2022
1680210890-180,Changan Eado A/T / L1 2022,"249,000
EGP","trending_up
+21,000
EGP","270,000
EGP",7/4/2022
1680210890-181,Changan Eado A/T / L2 2022,"380,000
EGP","trending_up
+30,000
EGP","410,000
EGP",18/01/2023
1680210890-182,Changan Eado A/T / L2 2022,"350,000
EGP","trending_up
+30,000
EGP","380,000
EGP",15/01/2023
1680210890-183,Changan Eado A/T / L2 2022,"330,000
EGP","trending_up
+20,000
EGP","350,000
EGP",31/10/2022
1680210890-184,Changan Eado A/T / L2 2022,"325,000
EGP","trending_up
+5,000
EGP","330,000
EGP",2/10/2022
1680210890-185,Changan Eado A/T / L2 2022,"310,000
EGP","trending_up
+15,000
EGP","325,000
EGP",4/9/2022
1680210890-186,Changan Eado A/T / L2 2022,"303,000
EGP","trending_up
+7,000
EGP","310,000
EGP",24/07/2022
1680210890-187,Changan Eado A/T / L2 2022,"299,900
EGP","trending_up
+3,100
EGP","303,000
EGP",14/06/2022
1680210890-188,Changan Eado A/T / L2 2022,"285,000
EGP","trending_up
+14,900
EGP","299,900
EGP",1/6/2022
1680210890-189,Changan Eado A/T / L2 2022,"275,000
EGP","trending_up
+10,000
EGP","285,000
EGP",8/5/2022
1680210890-190,Changan Eado A/T / L2 2022,"264,900
EGP","trending_up
+10,100
EGP","275,000
EGP",7/4/2022
1680210890-191,Hyundai Accent RB A/T / TINTED GLASS 2022,"333,000
EGP","trending_up
+17,000
EGP","350,000
EGP",31/10/2022
1680210890-192,Hyundai Accent RB A/T / TINTED GLASS 2022,"328,000
EGP","trending_up
+5,000
EGP","333,000
EGP",30/09/2022
1680210890-193,Hyundai Accent RB A/T / TINTED GLASS 2022,"300,000
EGP","trending_up
+28,000
EGP","328,000
EGP",1/9/2022
1680210890-194,Hyundai Accent RB A/T / TINTED GLASS 2022,"295,000
EGP","trending_up
+5,000
EGP","300,000
EGP",1/8/2022
1680210890-195,Hyundai Accent RB A/T / TINTED GLASS 2022,"290,000
EGP","trending_up
+5,000
EGP","295,000
EGP",2/7/2022
1680210890-196,Hyundai Accent RB A/T / TINTED GLASS 2022,"285,000
EGP","trending_up
+5,000
EGP","290,000
EGP",16/06/2022
1680210890-197,Hyundai Accent RB A/T / TINTED GLASS 2022,"28,000
EGP","trending_up
+257,000
EGP","285,000
EGP",1/6/2022
1680210890-198,Hyundai Accent RB A/T / TINTED GLASS 2022,"270,000
EGP","trending_up
+10,000
EGP","280,000
EGP",7/4/2022
1680210890-199,Hyundai Accent RB A/T / TINTED GLASS 2022,"245,000
EGP","trending_up
+25,000
EGP","270,000
EGP",21/03/2022
1680210890-200,Hyundai Accent RB A/T / TINTED GLASS 2022,"230,000
EGP","trending_up
+15,000
EGP","245,000
EGP",1/3/2022
1680210890-201,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"343,000
EGP","trending_up
+17,000
EGP","360,000
EGP",31/10/2022
1680210890-202,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"338,000
EGP","trending_up
+5,000
EGP","343,000
EGP",30/09/2022
1680210890-203,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"310,000
EGP","trending_up
+28,000
EGP","338,000
EGP",1/9/2022
1680210890-204,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"305,000
EGP","trending_up
+5,000
EGP","310,000
EGP",1/8/2022
1680210890-205,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"300,000
EGP","trending_up
+5,000
EGP","305,000
EGP",2/7/2022
1680210890-206,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"295,000
EGP","trending_up
+5,000
EGP","300,000
EGP",16/06/2022
1680210890-207,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"290,000
EGP","trending_up
+5,000
EGP","295,000
EGP",1/6/2022
1680210890-208,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"280,000
EGP","trending_up
+10,000
EGP","290,000
EGP",7/4/2022
1680210890-209,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"255,000
EGP","trending_up
+25,000
EGP","280,000
EGP",21/03/2022
1680210890-210,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"240,000
EGP","trending_up
+15,000
EGP","255,000
EGP",1/3/2022
1680210890-211,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2022,"350,000
EGP","trending_up
+17,000
EGP","367,000
EGP",31/10/2022
1680210890-212,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2022,"345,000
EGP","trending_up
+5,000
EGP","350,000
EGP",30/09/2022
